Carimbo de data/hora,Quote,Author
2021/12/15 23:27:38,"The red car, even before I knew it was called Ferrari, was my obsession.",Charles Leclerc
2021/12/15 23:27:39,It is a dream since a child to drive for the red cars.,Charles Leclerc
2021/12/15 23:27:40,"I like the danger, I like the adrenaline and I need it to race.",Charles Leclerc
2021/12/15 23:27:40,I think we always need to see the positive.,Charles Leclerc
2021/12/15 23:27:41,"My mental strength was definitely a weakness back in the karting days, and I've worked hard on that to be as ready as possible for whenever I had the chance in F1.",Charles Leclerc
2021/12/15 23:27:43,"I wake up in the morning thinking about victory, I go to sleep thinking about victory, so sometimes it might be hard. But I need to control myself more and, how can I say it politely? Just shut up instead of speaking on the radio.",Charles Leclerc
2021/12/15 23:27:44,"To be completely honest, I am obsessed with Formula 1 so in the off-season I would like to have just a few more races to still race in F1.",Charles Leclerc
2021/12/15 23:27:45,As soon as I signed with Ferrari it was clear to me that people expected big performances from me. Even though people were realistic enough to see that I was only starting my second season and that I still had a lot to learn.,Charles Leclerc
2021/12/15 23:27:46,I would love to drive a MotoGP but I'm not sure Ferrari agrees.,Charles Leclerc
2021/12/15 23:27:47,I just need to give the best of myself and work on myself.,Charles Leclerc
2021/12/15 23:27:48,The Spa-Francorchamps circuit has a special place in my heart.,Charles Leclerc
2021/12/15 23:27:49,I have a mentality that is really taking off all the pressure.,Charles Leclerc
2021/12/15 23:27:50,"At a track, it's different, there's pressure, things like this, so to be yourself is a bit different.",Charles Leclerc
2021/12/15 23:27:51,I'm not someone that always feels confident about himself.,Charles Leclerc
2021/12/15 23:27:52,"I've always been very hard on myself, it's the way that works with me.",Charles Leclerc
2021/12/15 23:27:53,"You should be judged on your performances, not how long you've been around.",Charles Leclerc
2021/12/15 23:27:53,"Yes, there will be situations when you may need to be a little selfish, but it is better to find the right balance.",Charles Leclerc
2021/12/15 23:27:55,"Out of the car I am normal, calm. In the car I want to give my best. It is passion, when you are passionate about something you give everything. I change quite a lot when I am in the car.",Charles Leclerc
2021/12/15 23:27:55,"Unfortunately I lost my father quite early, it changes you. It changes you forever.",Charles Leclerc
2021/12/15 23:27:56,F1 always feels unreal until you arrive and get your first seat.,Charles Leclerc
2021/12/15 23:27:57,"Of course, the cars are getting safer and safer but, when you are going at 340km/h, it can never be safe. This I knew from the start.",Charles Leclerc
2021/12/15 23:27:58,"Formula 1 is such a big jump from Formula 2, and there are so many new things that you need to learn.",Charles Leclerc
2021/12/15 23:27:59,"I think I am my own biggest critic, yeah.",Charles Leclerc
2021/12/15 23:28:00,With less and less races people will want to take more risks.,Charles Leclerc
2021/12/15 23:28:01,"Nobody believes me, but to be honest the pressure is not something that I feel.",Charles Leclerc
2021/12/15 23:28:03,It will always remain a dangerous sport.,Charles Leclerc
2021/12/15 23:28:04,"The Sochi circuit can be challenging, featuring a combination of high speed straights and lots of corners, especially in the last sector.",Charles Leclerc
2021/12/15 23:28:05,I love skiing.,Charles Leclerc
2021/12/15 23:28:06,I rarely focus on the result only just because I think if I work well the results will come and if we work well as a team the results will come.,Charles Leclerc
2021/12/15 23:28:07,"I've done this in karting, to do one track in one way and then do it the other way.",Charles Leclerc
2021/12/15 23:28:08,Being honest with myself is something I like. I am happy that I don't make excuses when I make a mistake. This is a good way to improve in the fastest way.,Charles Leclerc
2021/12/15 23:28:09,"In Formula One nothing is easy, but I can feel I'm taking the right steps, that I'm working in the proper way.",Charles Leclerc
2021/12/15 23:28:11,"The moment I prefer is the moment I put on the helmet, that everyone is leaving the pit lane, that I'm alone with the car and there it feels good. You don't have any feelings anymore; it's just racing and this I enjoy.",Charles Leclerc
2021/12/15 23:28:12,"Jules Bianchi was my racing godfather, and he spoke a lot to Ferrari about me.",Charles Leclerc
2021/12/15 23:28:13,Anyone who has the chance to drive for Ferrari will drive for Ferrari.,Charles Leclerc
2021/12/15 23:28:13,We need to keep working very hard.,Charles Leclerc
2021/12/15 23:28:15,"He's extremely clever and I learn always so much when I fight with Lewis. He always knows exactly what you are going to do next with his experience, and that's what makes him so good on track with the battles. He's not very aggressive, always very correct, but always very good to anticipate what you are going to do.",Charles Leclerc
2021/12/15 23:28:16,In the car it is really good to have a killer instinct where you need to be aggressive.,Charles Leclerc
2021/12/15 23:28:17,"Certainly driving a Ferrari is, at the same time, a dream come true, a huge responsibility and a great honor.",Charles Leclerc
2021/12/15 23:28:18,"At first, when I arrived at Ferrari, I was very intimidated by all the people there, by Ferrari itsel. This name is the biggest in motorsports.",Charles Leclerc
2021/12/15 23:28:19,"I analyse everything I do to see if I can do better, that's how I grew over the years.",Charles Leclerc
2021/12/15 23:28:20,"When I think about it, it is quite crazy to race against people like Fernando Alonso, when I remember watching him from the balcony in Monaco.",Charles Leclerc
2021/12/15 23:28:21,"I did not expect to have, at the end of my first season, seven poles and two wins. This is crazy. I did not expect it.",Charles Leclerc
2021/12/15 23:28:22,We are in F1 and we want to fight against the best.,Charles Leclerc
2021/12/15 23:28:23,Since I was a child I've been looking up to Formula One. Dreaming to be a Formula One driver.,Charles Leclerc
2021/12/15 23:28:25,I believe what matters are facts and behaviours in our daily life rather than formal gestures.,Charles Leclerc
2021/12/15 23:28:26,"That first victory, before you get to it, it always seems so far ahead. You're not sure whether you can make it or not. Once you do, obviously it's a relief, but it also helps you to then deal better once you are in the lead of a race.",Charles Leclerc
